; ： ；
;a ！
ughy 山高皇帝远
ugi 盛
ugif 生辰
ugig 生成
ugii 生吃
ugij 生产
ugim 盛
ugir 盛传
ugiu 胜出
ugiz 生抽
ugj 生姜
ugjb 省劲
ugjc 硕果仅存
ugjg 说干就干
ugji 升级
ugjk 圣经
ugjl 升降
ugjm 生煎
ugjp 圣洁
ugjq 时过境迁
ugju 胜局
ugk 声卡
ugka 声卡
ugkd 盛开
ugke 生客
ugkl 盛况
ugks 声控
ugkz 牲口
ugl 生理
ugld 生来
ugle 省了
uglg 生冷
ugli 胜利
uglk 生灵
ugll 硕果累累
uglt 省略
uglu 生路
uglv 胜率
uglx 瘦骨嶙峋
ugly 伸个懒腰
ugm 声明
ugmc 神鬼莫测
ugmg 生猛
ugmi 生米
ugmj 时乖命蹇
ugmk 生命
ugmt 视功名如粪土
ugmu 声母
ugmw 说个没完
ugn 牲
ugna 声呐
ugnm 盛年
ugnu 盛怒
ugnv 剩女
ugnw 省内
ugo 胜
ugoi 晟
ugou 昇
ugp 升
ugpa 生怕
ugpb 声频
ugpc 升
ugpf 生
ugpi 生僻
ugpk 生平
ugq 剩
ugqb 生擒
ugqd 剩
ugqg 树高千丈，落叶归根
ugqi 生气
ugqk 盛情
ugqm 省钱
ugqn 乘
ugqu 省去
ugqx 双管齐下
ugr 生日
ugrf 胜任
ugri 生日
ugrr 时光荏苒
ugru 时光如水
ugrz 生肉
ugs 绳
ugsd 绳
ugse 生涩
ugsg 圣僧
ugsi 生死
ugso 绳索
ugsr 胜算
ugsu 胜诉
ugt 摔跟头
ugtc 声讨
ugtd 生态
ugtg 升腾
ugti 绳梯
ugtj 圣坛
ugtm 升天
ugtp 生铁
ugty 生吞
ugtz 摔跟头
ugu 声
ugu/ 眚
ugud 时高时低
ugug 省省
uguh 升上
ugui 省事
uguj 上个世纪
uguk 盛衰
ugul 甥
uguo 省
ugup 声
ugus 水光山色
uguu 生疏
uguv 圣水
ugux 上纲上线
uguy 山高水远
uguz 生手
ugv 笙
ugvd 事关重大
ugve 省着
ugvh 生长 省长
ugvi 升值
ugvj 圣战
ugvl 盛装
ugvu 生猪
ugvv 收官之战
ugw 生文
ugwc 尸骨无存
ugwd 省外
ugwf 升温
ugwh 声望 尸骨未寒
ugwu 生物
ugww 省委
ugx 剩下
ugxb 省心
ugxi 生息
ugxk 盛行 生性
ugxl 声响
ugxm 生鲜 圣贤
ugxn 生效
ugxq 生锈
ugxt 升学
ugxu 升序
ugxx 剩下
ugxy 声讯
ugxz 深耕细作
ugy 圣 上个月
ugya 生涯
ugyb 声音
ugyh 生养
ugyi 生意
ugyj 盛宴
ugyk 生硬
ugyr 声援
ugyt 声乐
ugyu 剩余 声誉
ugyy 声韵
ugyz 省油
ugz 绳子
ugzi 绳子
ugzj 盛赞
uh 上 伤害
uha 上岸
uhan 上岸
uhb 上报
uhba 伤疤
uhbb 上宾
uhbc 上报
uhbd 上百
uhbh 上榜
uhbj 上班
uhbk 伤病
uhbm 上边
uhbn 商标
uhbr 水火不相容
uhbu 上部
uhbw 伤悲
uhby 尸横遍野
uhc 赏赐
uhcc 上操
uhcd 上菜
uhce 上策
uhcg 上层
uhch 上苍
uhci 上次
uhcj 伤残
uhcy 尚存
uhd 殇
uhd/ 汤
uhdc 说话带刺
uhdd 尚待 神魂颠倒
uhdg 上等
uhdh 上当
uhdi 上帝
uhdk 商定
uhdm 商店
uhdn 上吊
uhdp 觞
uhdr 上端
uhdx 上海大学
uhdy 疏忽大意
uhe 上颚
uhee 上颚
uhf 上方
uhfa 赏罚
uhff 上坟
uhfg 伤风
uhfh 上方
uhfj 商贩
uhfu 上浮
uhfw 售后服务
uhg 伤感
uhge 上个
uhgg 深化改革
uhgh 上岗
uhgj 伤感
uhgl 赏光
uhgp 摄魂勾魄
uhgr 上官
uhgs 上供
uhgu 上古
uhgz 上钩
uhh 熵
uhhc 上好
uhhd 上海
uhhe 上颌
uhhf 伤痕
uhhh 商行
uhhj 伤寒
uhhk 伤怀
uhho 上火
uhhu 商户
uhhv 上回
uhhx 赏花
uhi 上场
uhic 商朝
uhie 上车
uhig 商城
uhih 商场
uhil 上床
uhir 上传
uhis 上冲
uhj 上级
uhjb 上进
uhjd 上海交大
uhji 上级
uhjj 身怀绝技
uhjk 上镜
uhjl 上将
uhjm 商检
uhjn 上交
uhjp 上街
uhju 上句
uhjx 商家
uhk 上课
uhke 上课
uhks 上空
uhkz 伤口
uhl 商量
uhla 上
uhld 上来
uhle 上了
uhlj 身怀六甲
uhll 商量 伤痕累累
uhlm 上联
uhlp 失魂落魄
uhlq 上流
uhlu 上路
uhlv 商旅
uhlz 上楼
uhm 上面
uhma 上马
uhmb 生花妙笔
uhmc 商贸
uhmf 上门
uhmm 上面
uhn 上年
uhnf 时和年丰
uhng 尚能
uhnm 上年
uho 晌
uhok 晌
uhp 上屏
uhpb 商品
uhpd 上排
uhpk 上屏
uhpm 上篇
uhpo 上坡
uhpu 商铺
uhq 耍花腔
uhqi 上期
uhqj 神乎其技
uhql 耍花腔
uhqm 上前
uhqn 上翘
uhqp 尚且
uhqq 商丘
uhqr 商圈
uhqt 商榷
uhqu 上去 神乎其神
uhqx 商洽
uhr 伤
uhrc 上饶
uhrf 商人
uhrl 伤
uhs 绱
uhse 上色
uhsh 说话算话
uhsi 上司
uhsj 水花四溅
uhsk 绱
uhso 上锁
uhsr 上算
uhsu 上诉
uht 墒
uht/ 埫
uhtc 商讨
uhtd 上台
uhth 上膛
uhti 上体
uhtj 商谈
uhtk 垧
uhtm 上天
uhtn 上调
uhtr 商团
uhts 伤痛
uhtu 上图
uhtz 上头
uhu 上海市
uhua 商厦
uhue 商社
uhuf 上身
uhug 上升
uhuh 上上 时好时坏
uhui 上市 赏识
uhuj 上山
uhuo 实话说
uhuu 上述 实话实说
uhuv 上税
uhux 上海师范大学
uhuz 上手
uhv 受害者
uhvd 社会制度
uhve 伤者
uhvf 上阵
uhvg 上证
uhvh 上涨
uhvi 上肢
uhvj 商战
uhvl 上装 事后诸葛亮
uhvo 上桌
uhvr 水浒传
uhvy 社会主义
uhvz 上周
uhw 商
uhwf 上文
uhwh 上网 伤亡
uhwj 赏玩
uhwk 商
uhwq 水火无情
uhws 山呼万岁
uhwu 上午 商务
uhww 尚未
uhx 尚 裳
uhxb 伤心
uhxi 赏析
uhxj 社会学家
uhxk 上行
uhxl 上香
uhxm 上线 上限
uhxn 上校
uhxr 赏
uhxt 上学
uhxu 尚需
uhxx 上下
uhxy 上旬
uhy 上演
uhyb 上瘾
uhyc 上药
uhye 商业
uhyh 上扬
uhyi 上衣
uhyj 上演
uhyk 上映
uhyr 上元 伤员
uhys 商用
uhyt 上月
uhyu 伤愈
uhyv 抒怀言志
uhyz 上游
uhz 上载
uhzc 尚早
uhzd 尚在
uhzo 上座
uhzy 社会资源
ui 事 室
uia 十
uia/ 䴓
uiac 鲥
uiai 鲺
uiaj 𫚕
uiak 石
uial 十
uian 豕
uiav 世
uib 实
uiba 十八
uibc 时报
uibd 失败
uibf 蚀本
uibi 势必
uibj 石板
uibk 士兵
uibm 事变
uibn 実
uibo 试播
uibp 识别
uibq 伤春悲秋
uibt 室
uibw 石碑
uibz 生辰八字
uic 蓍
uicc 莳
uicd 食材
uice 失策
uici 诗词
uico 失措
uics 师从
uid 湿
uid/ 浉 湜
uidb 奭
uidc 世道
uidd 时代 说长道短
uide 使得
uidh 适当 石沉大海
uidi 师弟
uidj 实弹
uidm 十点
uidn 石雕
uido 拾掇
uidq 殖
uidr 时段
uidu 适度
uidy 石墩
uie 示
uiec 峙
uiej 恃宠而骄
uier 十二
uiex 示
uif 拾
uifa 施法
uiff 十分
uifg 拭
uifh 释放
uifj 示范 师范
uifk 誓
uifl 势
uifo 石佛
uifu 师傅 师父
uifw 是非
uify 施
uifz 是否
uig 使馆
uigc 石膏
uige 十个
uigj 实干
uigl 时光
uigm 神出鬼没
uigo 试过
uigr 试管
uigs 施工
uigu 事故
uih 使坏
uih/ 炻
uihc 嗜好
uihe 适合
uihg 失衡
uihk 释怀
uihl 山川河流
uiho 识货
uihr 使唤
uihu 视乎
uihv 实惠
uihx 实话
uihy 噬魂
uihz 时候
uii 轼
uiia 视察
uiic 诗抄
uiie 试车
uiif 时辰
uiig 实诚
uiih 市场 时常
uiii 市尺
uiil 视窗
uiir 失传
uiis 失宠
uiiz 世仇
uij 时间
uij/ 鼫
uijb 使劲
uiji 实际
uijj 铈
uijk 失敬
uijm 实践
uijn 视角
uijp 世界
uijq 十九
uijr 试卷
uijt 视觉
uiju 诗句
uijx 施加
uijy 省吃俭用
uik 嗜
uika 噬
uike 时刻
uikj 试看
uikk 石块
uikl 实况
uiko 嗜
uikr 噬
uiks 失控
uiku 石窟
uiky 嘘
uil 师
uila 石蜡
uilb 石林
uild 驶来
uile 试了
uilg 湿冷
uilh 侍郎
uili 实力 势力
uilj 师
uilk 失灵
uill 适量
uilm 失恋
uiln 史
uilo 失落
uilq 十六 石榴
uilu 实录
uim 驶
uima 是吗
uimb 市民
uimc 时髦
uimf 师门
uimg 栻
uimi 十米
uimj 柿
uimk 使命
uimm 失眠
uimo 始末
uimu 师母
uimw 师妹
uin 始
uink 始
uinl 师娘
uinm 十年
uinn 屎尿
uint 施虐
uinv 侍女
uinw 室内
uio 时
uiob 匙
uioc 时
uior 是
uiov 昰
uiox 䏡
uip 视
uip/ 襫 祏
uipb 视频 食品
uipe 视
uipf 失
uipj 实盘
uipk 时评
uipl 释
uipm 诗篇
uipo 识破
uipt 矢
uipu 食谱
uipv 氏
uipw 适配 失陪
uiq 狮 舐
uiqh 势成骑虎
uiqi 时期 十七
uiqj 狮
uiqk 事情
uiql 十强
uiqm 事前
uiqn 石桥
uiqp 失窃
uiqr 实权
uiqu 失去 市区
uir 使
uirc 侍
uire 湿热
uirf 诗人
uiri 时日
uirj 释然 受宠若惊
uirl 食
uiro 示弱
uirr 似
uirs 市容
uiru 仕 什
uiry 湿润
uirz 食肉
uis 失色
uise 失色
uisi 十四
uisj 十三 失散
uisr 失算
uisu 时速
uisv 十岁
uisy 石笋
uit 螫
uitc 埘
uitd 事态
uite 邿
uith 食堂
uiti 实体
uitj 试探
uitk 视听
uitm 十天 师出同门
uitn 失调
uitr 使团
uits 视同
uitu 试图
uitz 石头
uiu 蚀
uiua 士
uiue 施舍
uiuf 失身
uiug 师生
uiuh 时尚
uiui 实施
uiuj 饰
uiul 山重水复疑无路
uium 屎
uiun 鸤
uiuo 实说
uiur 贳
uiuu 实数
uiuv 试水
uiuz 失手
uiv 尸 虱
uive 试着
uivf 时针
uivg 市政
uivh 市长 师长
uivi 实质 食指
uivj 实战 施展
uivl 时装
uivp 尸
uivr 筮
uivs 始终
uivu 施主
uivy 失准
uiw 市
uiwd 室外
uiwf 试问
uiwh 失望
uiwj 十万
uiwm 师出无名
uiwu 失误 十五
uiww 示威
uix 恃
uixb 失信
uixc 恃
uixg 弑
uixi 实习
uixk 实行
uixl 事项
uixm 实现 视线
uixn 失效
uixq 失修
uixr 诗选
uixs 师兄
uixt 失血
uixu 时序
uixx 试下
uiy 式
uiya 施压
uiyb 识
uiyc 诗
uiye 事业 视野
uiyg 试
uiyh 式样
uiyi 十一 事宜
uiyj 实验 试验
uiyk 适应
uiyl 酾
uiym 谥
uiyr 𬤊
uiys 使用
uiyt 十月
uiyu 食欲
uiyy 事出有因
uiyz 石油
uiz 适
uizd 实在
uize 实则
uizi 狮子
uizj 逝
uizk 适
uizo 视作
uizs 失踪
uizu 十足
uj 山 世纪
uja 鳝
ujaf 世间安得两全法
ujak 鳝
ujao 山坳
ujar 生机盎然
ujb 单
ujbb 生机勃勃 身价百倍
ujbc 善报
ujbe 疝
ujbf 善本
ujbg 山崩
ujbh 沙家浜
ujbi 闪避
ujbk 神经病
ujbl 时间不早了
ujbm 善变 拾金不昧
ujbr 时间不等人
ujbu 盛极必衰
ujbv 身经百战
ujbw 陕北
ujby 手脚并用
ujbz 时间不早
ujc 删
ujc/ 芟
ujcd 删
ujci 删词
ujck 苫
ujcl 神经错乱
ujcq 事急从权
ujcs 圣基茨和尼维斯
ujcv 社稷次之
ujcy 山村
ujd 汕 潸
ujdc 山道
ujdd 善待
ujde 汕
ujdg 少见多怪 伤筋动骨
ujdi 山地
ujdk 山顶
ujdm 闪电
ujdn 删掉
ujdo 闪躲
ujds 山东 煽动
ujdt 伤筋动骨一百天
ujdu 善妒
ujdv 世界大战
ujdy 世界第一
ujdz 世家大族
uje 陕
ujee 善恶
ujej 陕
ujek 嶦
ujeu 盛极而衰
ujf 擅
ujfa 擅
ujfg 山峰
ujfh 掞
ujfl 掸
ujfp 掺
ujfu 山腹
ujg 十几个
ujgc 山高
ujgd 删改
ujge 山歌
ujgh 山冈
ujgj 世界冠军
ujgk 杀鸡给猴看
ujgl 闪光
ujgm 神经过敏
ujgo 闪过
ujgr 世界观
ujgu 山谷
ujgw 身居高位
ujgy 双节棍
ujgz 山沟
ujh 扇
ujhb 双剑合璧
ujhd 剡
ujhe 山河
ujhh 杀鸡骇猴
ujho 山火
ujhp 世界和平
ujhs 山洪
ujht 数九寒天
ujhu 珊瑚
ujhx 煽 舒筋活血
ujhy 闪婚
ujhz 善后
uji 蟮
ujia 山茶
ujib 时间成本
ujig 山城
ujih 擅长
ujik 蟮
ujil 时间长了
ujir 山川
ujiu 删除
ujiv 实践出真知
ujj 审计局
ujj/ 钐
ujjc 时间紧促
ujjh 杀鸡儆猴
ujji 深居简出
ujjk 山景
ujjl 世界纪录
ujjm 删减
ujjn 山脚
ujjp 时间紧迫
ujjr 舍己救人
ujju 善举
ujk 赡
ujkd 闪开
ujke 神经科
ujkk 赡
ujkr 善款
ujku 数据库
ujl 闪亮
ujlb 山林
ujld 势均力敌
ujle 删了
ujli 山里
ujlj 山岚
ujlk 山岭
ujll 善良
ujlr 山峦
ujlu 山路
ujlw 善类
ujm 闪
ujmb 山民
ujmc 栅
ujmd 山脉
ujmf 山门
ujml 手脚麻利
ujmm 扇面
ujmn 释迦牟尼
ujmo 世纪末
ujmp 杉
ujmr 世界末日
ujms 神机妙算
ujmu 神经末梢
ujmx 骟
ujn 姗
ujna 嬗
ujnc 姗
ujnm 十几年
ujo 膳
ujoa 膻
ujoh 晱
ujok 膳
ujp 衫
ujpb 生机蓬勃
ujpk 闪屏
ujpl 禅
ujpo 山坡
ujpp 衫
ujq 煽情
ujqk 煽情
ujql 杀鸡取卵
ujqq 山丘
ujqr 山泉
ujqt 山雀
ujqu 山区
ujqy 舍近求远
ujr 闪人
ujrf 闪人
ujrh 禅让
ujrj 潸然
ujry 善解人意
ujs 缮 十几岁
ujse 山色
ujsk 缮
ujsu 膳宿
ujsv 十九岁
ujt 埏
ujti 山体
ujtk 墡
ujtl 𫮃
ujtp 删帖
ujtv 闪退
ujtz 汕头
uju 实际上
ujud 失节事大
ujuf 山神
ujuh 山上
ujui 善事
ujuj 闪闪
ujuo 闪烁
ujur 神经衰弱
ujuu 杉树
ujuv 山水
ujv 舢 石家庄
ujva 山楂
ujvd 山寨
ujve 闪着
ujvf 山珍
ujvi 十进制
ujvj 善战
ujvk 生津止渴
ujvl 山庄
ujvm 实践证明
ujvs 山中
ujvt 市井之徒
ujvu 食君之禄，忠君之事
ujvv 扇坠
ujw 珊
ujwa 山洼
ujwc 珊
ujwd 时机未到
ujwg 伤及无辜
ujwh 善忘
ujwj 世界屋脊
ujwo 山窝
ujwr 舍己为人
ujx 上进心
ujxb 善心
ujxd 实际行动
ujxh 杀鸡吓猴
ujxi 山西 陕西
ujxk 扇形
ujxl 山乡
ujxm 闪现 身家性命
ujxn 讪笑
ujxt 神经系统
ujxx 山下
ujy 善
ujy/ 鄯
ujya 山崖
ujyc 闪耀
ujyd 杀鸡焉用牛刀
ujye 讪
ujyh 赡养
ujyi 善意
ujyk 手疾眼快
ujyl 世界一流
ujys 善用
ujyt 山岳
ujyu 善于
ujz 跚
ujzc 跚
ujzi 擅自
ujzw 山贼
uk 帅
ukb 时刻表
ukbd 衰败
ukbm 衰变
ukbn 时刻表
ukbu 率部
ukc 帅才
ukcd 帅才
ukd 摔倒
ukda 摔打
ukdc 摔倒
ukdn 甩掉
ukdr 摔断
ukds 甩动
ukdv 率队
uke 适可而止
ukev 适可而止
ukf 摔
ukfq 首开风气
ukfr 矢口否认
ukfu 摔
ukg 帅哥
ukge 帅哥
ukgo 甩锅
ukh 摔坏
ukhk 摔坏
ukho 甩货
uki 蟀
ukiu 甩出
ukj 衰竭
ukjl 首开纪录
ukjm 衰减
ukjn 摔跤
ukjp 衰竭
ukk 甩
ukkd 甩开
ukke 甩客
ukkq 盛况空前
ukkv 甩
ukl 顺口溜
uklc 衰老
ukle 摔了
uklj 摔烂
uklk 率领
uklo 衰落
uklq 顺口溜
ukm 甩卖
ukmd 甩卖
ukp 摔破
ukpo 摔破
ukq 顺口气
ukqi 帅气
ukr 衰弱
ukro 衰弱
ukrp 守口如瓶
ukrr 是可忍，孰不可忍
uks 摔死
uksi 摔死
uksv 摔碎
ukt 衰退
ukti 衰替
ukto 甩脱
uktv 衰退
uku 摔伤
ukuh 摔伤
ukum 时快时慢
ukun 受苦受难
ukur 士可杀不可辱
ukuz 甩手
ukv 率真
ukvf 率真
ukvi 率直
ukvv 时刻准备着
ukw 衰
ukwh 衰亡
ukwu 率
ukww 甩尾
ukwy 衰
ukx 率先
ukxk 率性
ukxm 率先
ukxq 衰朽
ukxx 摔下
uky 社科院
ukyb 帅印
ukyr 社科院
ukz 水可载舟
ukzv 水可载舟
ul 双
ula 爽
ulan 爽
ulb 双倍
ulbi 双臂
ulbj 始料不及
ulbm 双边
ulbs 生老病死 十里不同俗
ulbt 说了半天
ulbw 双倍 上梁不正下梁歪
ulbx 十里八乡
ulby 十里不同音
ulc 双层
ulcg 双层
ulcv 爽脆
uld 爽
ulda 双打
uldc 双刀
uldj 手榴弹
uldl 泷
ulds 霜冻
uldx 漴
ule 双耳
uler 双耳
ulex 顺流而下
ulf 双方
ulfc 失了分寸
ulff 双份
ulfg 双峰
ulfh 双方
ulfw 双飞
ulg 失落感
ulge 十来个
ulgh 双杠
ulgi 水利工程
ulgj 失落感
ulgq 杀了个回马枪
ulgr 双关
ulgv 双规
ulh 省略号
ulhc 双号
ulhe 双核
ulhh 生龙活虎
ulhi 说来话长
ulhl 双簧
uli 双重
ulis 双重
ulit 十里长亭
uliv 顺理成章
uliy 双唇
ulj 睡懒觉
ulji 双击
uljl 霜降
uljm 双肩
uljn 双脚
ulju 孀居
uljv 十六进制
uljw 神龙见首不见尾
uljx 双颊 声泪俱下
uljy 生力军
ulk 爽快
ulkd 双开
ulkk 爽快
ulkz 爽口
ull 水灵灵
ullh 爽朗
ulli 爽利
ullk 水灵灵
ulln 双料
ullq 水里来火里去
ulls 双龙
ullu 湿漉漉
ulm 耍流氓
ulmh 耍流氓
ulmm 双面
ulmo 骦
ulmu 双目
ulmw 双眉
ulmz 双眸
uln 孀
ulnj 上了年纪
ulno 孀
ulp 双排
ulpb 双拼
ulpd 双排
ulq 双亲
ulqb 双亲
ulqi 双栖
ulqj 身临其境
ulqr 双全
ulqs 十六七岁
ulqx 石榴裙下
ulr 双人
ulrf 双人
ulru 双乳
ulrx 收揽人心
uls 说了算
ulsb 生离死别
ulse 双色
ulsi 少林寺
ulsr 说了算
ulsv 十六岁
ult 水龙头
ultt 生灵涂炭
ultv 双腿
ulty 水来土掩
ultz 水龙头
ulu 试了试
ului 水落石出
ulul 双双
ulun 水利枢纽
uluo 礵
uluq 说来说去
ulur 时冷时热
uluu 双数
uluz 双手
ulv 爽直
ulvb 神来之笔
ulvi 爽直
ulvq 始乱终弃
ulvt 少来这一套
ulvu 擅离职守
ulw 梳理
ulwi 顺利完成
ulwj 始料未及
ulwu 生理卫生
ulx 生理学
ulxb 双薪
ulxk 双形
ulxl 双向
ulxm 双线
ulxq 双休
ulxs 双雄
ulxt 生理学
ulxy 圣卢西亚
uly 霜 势利眼
ulye 霜叶
ulyi 生拉硬扯
ulyj 双眼
ulyk 双赢
ulyn 鹴
ulyo 霜
ulyt 爽约
ulyu 生理盐水
ulyv 时来运转
ulyx 试了一下
ulyy 双
ulz 双足
ulzi 上了贼船
ulzl 是骡子是马，拉出来溜溜
ulzm 是骡子是马
ulzu 双足
ulzw 胜利在望
um 上面
umb 睡眠不足
umbx 生命不息
umbz 睡眠不足
umc 鼠目寸光
umcg 鼠目寸光
umci 生命财产
umd 善莫大焉
umdv 声名大振
umdy 善莫大焉
umg 神秘感
umgj 神秘感
umh 书名号
umhc 书名号
umhu 山盟海誓
umhx 生猛海鲜
umi 生命诚可贵
umig 生命诚可贵
umj 双面胶
umjc 双眉紧蹙
umjl 手忙脚乱
umjn 双面胶
umju 水漫金山
uml 生命力
umli 生命力
umlj 声名狼藉
umln 圣马力诺
umm 十面埋伏
ummf 十面埋伏
ump 审美疲劳
umpl 审美疲劳
umpz 舍命陪君子
umq 生闷气
umqh 水木清华
umqi 生闷气
umqq 声名鹊起
umr 收买人心
umrd 神目如电
umrx 收买人心
umt 水蜜桃
umtc 水蜜桃
umu 说明书
umuh 市面上
umul 熟门熟路
umum 双目失明
umuu 说明书
umux 山明水秀
umv 实名制
umvf 生米煮成熟饭
umvi 实名制
umvu 盛名之下无虚士
umvx 盛名之下
umvy 生命之源
umx 生命线
umxi 石墨烯
umxm 生命线
umxx 神秘兮兮
umy 守门员
umyb 声名远播
umyd 拭目以待
umyl 深谋远虑
umyr 守门员
umyy 声名远扬
umz 数目字
umzf 生米做成熟饭
umzi 数目字
un 熟能生巧
unb 少年不努力
unbl 少年不努力
unbw 少年不识愁滋味
unc 恕难从命
uncm 恕难从命
und 少年得志
undl 十年动乱
undv 少年得志
une 少年儿童
unet 少年儿童
ung 少年宫
ungs 少年宫
unh 山南海北
unhb 山南海北
unhi 十年寒窗
unhx 十年河东，十年河西
unj 伤脑筋
unjb 伤脑筋
unjw 十拿九稳
unjx 神农架
unjy 十年九不遇
unl 少年老成
unli 少年老成
unm 十年磨一剑
unmj 十年磨一剑
unp 说你胖你就喘
unpi 说你胖你就喘
unpu 十年怕井绳
unr 十年如一日
unrr 十年如一日
unt 上年同期
untq 上年同期
unu 十年生死两茫茫
unum 十年树木
unun 少男少女
unuq 熟能生巧
unur 十年树木，百年树人
unw 孰能无过
unwg 孰能无过
unwz 恕你无罪
unx 善男信女
unxn 善男信女
uo 说
uob 朔
uoba 说吧
uobm 槊
uobo 朔
uoc 蒴
uoci 说辞
uoco 说错
uod 说到
uoda 硕大
uodc 说道
uode 说得
uodm 说点
uods 说动
uof 搠
uofa 说法
uofg 朔风
uofo 搠
uofu 说服
uog 说过
uogo 说过
uogw 说给
uoh 烁
uohc 说好
uohe 说合
uohl 说谎
uohx 说话
uoi 说出
uoig 说成
uoih 说唱
uoir 说穿
uoiu 说出
uoj 铄
uojl 铄
uojn 说教
uoju 说句
uok 说开
uokd 说开
uoke 说客
uol 说了
uold 说来
uole 说了
uoli 说理
uom 说明
uom/ 数
uomk 说明
uomw 说媒
uon 妁
uonu 妁
uop 说破
uopo 说破
uoq 说情
uoqb 说亲
uoqi 说起
uoqk 说情
uou 硕
uoua 说啥
uoug 说声
uoui 硕士
uouo 说说
uour 硕
uouu 说书
uov 说着
uove 说着
uovs 说中
uow 说完
uowj 说完
uox 说下
uoxi 说戏
uoxl 说项
uoxn 说笑
uoxp 说些
uoxx 说下
uoy 说
uoye 说
uoyt 朔月
up 双拼
upf 商品房
upfh 商品房
upgc 水平高
upj 双拼加形
upjx 双拼加形
upm 水平面
upmm 水平面
upq 适配器
upqi 适配器
upr 水平如镜
uprj 水平如镜
upt 石破天惊
uptj 石破天惊
upu 双拼双形
upux 双拼双形
upx 水平线
upxl 顺坡下驴
upxm 水平线
upz 生僻字
upzi 屎盆子
upzo 水瓶座
upzv 耍贫嘴
uq 事情
uqb 受气包
uqbb 生气勃勃
uqbc 受气包
uqbm 声情并茂
uqbq 上气不接下气
uqbs 十七八岁
uqc 视钱财如粪土
uqct 视钱财如粪土
uqd 说千道万
uqdw 说千道万
uqf 蜀犬吠日
uqfr 蜀犬吠日
uqg 士气高涨
uqgv 士气高涨
uqh 深情厚谊
uqhh 神情恍惚
uqhx 神气活现
uqhy 诗情画意
uqi 说清楚
uqiu 说清楚
uqk 盛情款待
uqkd 盛情款待
uql 失去了
uqld 说起来
uqle 失去了
uqlj 势穷力竭
uqlr 盛气凌人 恃强凌弱
uqlv 身强力壮
uqn 数千年
uqnm 数千年
uqnq 盛情难却
uqnu 双拳难敌四手
uqq 神清气爽
uqqu 神清气爽
uqr 尚且如此
uqrc 尚且如此
uqs 十七岁
uqsv 十七岁
uqt 身强体壮
uqtt 杀气腾腾
uqtv 身强体壮
uqu 十全十美
uquj 山穷水尽
uqul 山青水绿
uqum 十全十美
uquu 申请书
uquv 孰轻孰重
uqux 山清水秀
uquz 神气十足
uqw 水清无鱼
uqwy 水清无鱼
uqx 双曲线
uqxd 上情下达
uqxm 双曲线
uqxt 声气相通
uqy 首屈一指
uqyv 首屈一指
uqz 顺其自然
uqzr 顺其自然
uqzw 胜券在握
ur 拴
urb 收入不菲
urbd 时日不多
urbf 收入不菲
urbx 杀人不见血
urby 杀人不眨眼
urc 视如草芥
urcj 视如草芥
urd 涮
urdb 杀人夺宝
urdd 涮
urf 输入法
urfa 输入法
urfh 杀人放火
urfw 拴
urg 深入骨髓
urgs 深入骨髓
urh 说人话
urhv 声如洪钟
urhx 深入虎穴
uri 双人床
uril 双人床
urim 杀人偿命
uriq 杀人偿命，欠债还钱
urj 双刃剑
urji 视如己出
urjm 双刃剑
urjr 水乳交融
urjv 世人皆知
urk 生日快乐
urki 视如寇仇
urkl 生日快乐
url 潸然泪下
urll 势如累卵
urlx 潸然泪下
urm 闩
urma 闩
urmk 杀人灭口
urmw 栓
urn 收入囊中
urnv 收入囊中
uro 腨
uroe 腨
urp 势如破竹
urpv 势如破竹
urq 深入浅出
urqi 深入浅出
urr 深入人心
urrm 杀人如麻
urru 爽然若失
urrx 深入人心
urry 手如柔荑
urs 收容所
urse 栓塞
urso 收容所
uru 涮涮
urud 时日尚短
urur 涮涮
uruw 水软山温
urv 拴住
urvb 视如珍宝
urvt 受人之托
urvu 拴住
urw 时日无多
urwd 视若无睹
urwj 生人勿进
urx 深入细致
urxp 摄人心魄
urxu 杀人凶手
urxv 深入细致
ury 授人以鱼，不如授人以渔
uryb 授人以柄
uryf 傻人有傻福
uryh 杀人越货 拾人牙慧
uryk 胜任愉快
uryy 授人以鱼 授人以渔
urz 山人自有妙计
urzj 山人自有妙计
us 神似
usb 生死不渝
usbd 殊死搏斗
usbm 生死不明
usbv 生死不知
usby 生死不渝
usc 生死存亡
uscw 生死存亡
usd 十三点
usdd 瘦死的骆驼比马大
usdm 十三点
usdn 失散多年
usds 说三道四
usdx 身死道消
usg 生死关头
usgt 生死关头
ush 神思恍惚
ushh 神思恍惚
ushj 世所罕见
ushv 神色慌张
usj 声色俱厉
usjl 声色俱厉
usl 声嘶力竭
uslb 生死离别
usld 瘦死骆驼比马大
uslh 生死轮回
uslj 声嘶力竭
usnl 生死难料
usq 声色犬马
usqm 声色犬马
usr 视死如归
usrg 视死如归
uss 十三岁
usss 十三四岁
ussv 十四岁
usu 深思熟虑
usuf 双宿双飞
usug 水色山光
usul 深思熟虑
usv 生死战
usvj 生死之交
usvv 生死之战
usvw 食髓知味
usw 生死未卜
uswb 生死未卜
usws 十四五岁
uswu 十死无生
usx 食色性也
usxy 生死相依
usy 生死攸关
usyg 生死与共
usym 生死有命
usyt 生死有命，富贵在天
usz 神色自若
uszr 神色自若
ut 身体
uta 沙特阿拉伯
utab 沙特阿拉伯
utb 水土不服
utbf 水土不服
